Gmt time,Open,High,Low,Close,Volume
03.01.2017 15:30:00.000,1150.628,1151.539,1149.848,1151.118,447379.9989
03.01.2017 15:35:00.000,1151.119,1152.669,1150.692,1152.328,427210.0068
03.01.2017 15:40:00.000,1152.311,1152.611,1151.411,1151.732,426479.9953
03.01.2017 15:45:00.000,1151.749,1152.951,1151.518,1152.911,294749.9976
03.01.2017 15:50:00.000,1152.901,1154.709,1152.901,1154.189,466469.9919
03.01.2017 15:55:00.000,1154.171,1155.959,1154.028,1154.918,514540.00179999997
03.01.2017 16:00:00.000,1154.918,1156.179,1154.778,1155.418,566599.9948999999
03.01.2017 16:05:00.000,1155.469,1155.518,1153.488,1154.768,560369.9982
03.01.2017 16:10:00.000,1154.839,1156.849,1154.638,1155.968,432579.9980000001
03.01.2017 16:15:00.000,1155.958,1160.578,1155.622,1159.079,497440.00269999995
03.01.2017 16:20:00.000,1159.079,1160.029,1158.518,1158.569,529380.0011
03.01.2017 16:25:00.000,1158.519,1160.118,1158.519,1159.869,557389.9969
03.01.2017 16:30:00.000,1159.969,1160.319,1158.898,1159.309,518030.00259999995
03.01.2017 16:35:00.000,1159.279,1160.019,1158.949,1159.048,555039.9944
03.01.2017 16:40:00.000,1159.048,1164.408,1158.878,1161.751,657430.0005999999
03.01.2017 16:45:00.000,1161.802,1162.609,1160.659,1161.228,526099.9948
03.01.2017 16:50:00.000,1161.188,1161.658,1160.089,1160.969,446379.9968
03.01.2017 16:55:00.000,1160.969,1161.278,1160.218,1160.368,436250.0012
03.01.2017 17:00:00.000,1160.338,1161.438,1160.078,1160.408,396180.0039
03.01.2017 17:05:00.000,1160.419,1160.919,1159.518,1159.618,404800.00519999996
03.01.2017 17:10:00.000,1159.628,1160.261,1158.572,1160.141,341589.9984
03.01.2017 17:15:00.000,1160.231,1160.939,1159.508,1160.679,288529.9921
03.01.2017 17:20:00.000,1160.668,1161.238,1160.219,1160.709,435029.9983999999
03.01.2017 17:25:00.000,1160.709,1160.759,1159.828,1159.968,353689.9947
03.01.2017 17:30:00.000,1159.958,1160.979,1159.928,1160.779,342539.9996999999
03.01.2017 17:35:00.000,1160.808,1161.298,1160.688,1161.018,262249.9969
03.01.2017 17:40:00.000,1161.008,1162.439,1160.908,1162.061,311100.00059999997
03.01.2017 17:45:00.000,1162.038,1162.862,1161.981,1162.382,301029.99509999994
03.01.2017 17:50:00.000,1162.282,1162.412,1161.728,1162.138,263379.9948
03.01.2017 17:55:00.000,1162.118,1162.229,1161.308,1161.962,355790.0005
03.01.2017 18:00:00.000,1162.008,1163.399,1161.528,1161.699,448010.0051
03.01.2017 18:05:00.000,1161.719,1162.038,1161.199,1161.628,402739.99439999997
03.01.2017 18:10:00.000,1161.618,1161.978,1160.548,1161.758,313270.0025
03.01.2017 18:15:00.000,1161.809,1162.419,1161.598,1162.009,263239.99830000004
03.01.2017 18:20:00.000,1162.029,1162.289,1160.648,1161.038,346949.99830000004
03.01.2017 18:25:00.000,1161.029,1161.449,1160.638,1161.149,376390.0027
03.01.2017 18:30:00.000,1161.138,1161.138,1159.938,1160.252,287860.0024
03.01.2017 18:35:00.000,1160.231,1161.018,1160.151,1160.259,299470.0036
03.01.2017 18:40:00.000,1160.259,1160.269,1159.508,1159.959,333340.0004
03.01.2017 18:45:00.000,1159.959,1160.369,1159.659,1160.058,259410.0013
03.01.2017 18:50:00.000,1160.048,1160.201,1159.529,1159.629,154630.0035
03.01.2017 18:55:00.000,1159.638,1160.018,1159.248,1159.432,297399.9978
03.01.2017 19:00:00.000,1159.388,1159.929,1159.272,1159.819,241099.9983
03.01.2017 19:05:00.000,1159.808,1160.249,1159.468,1159.698,272870.0004
03.01.2017 19:10:00.000,1159.719,1159.888,1159.399,1159.489,210809.99829999998
03.01.2017 19:15:00.000,1159.498,1159.718,1159.078,1159.569,219210.0044
03.01.2017 19:20:00.000,1159.559,1160.261,1159.482,1159.669,180550.0034
03.01.2017 19:25:00.000,1159.658,1160.188,1159.258,1159.408,230689.9988
03.01.2017 19:30:00.000,1159.419,1159.999,1159.298,1159.999,186000.0007
03.01.2017 19:35:00.000,1159.998,1160.208,1159.799,1159.899,130330.0001
03.01.2017 19:40:00.000,1159.898,1160.298,1159.818,1159.818,125130.00140000001
03.01.2017 19:45:00.000,1159.849,1159.908,1159.478,1159.599,138550.0011
03.01.2017 19:50:00.000,1159.599,1159.739,1158.879,1158.919,172550.00220000002
03.01.2017 19:55:00.000,1158.909,1159.599,1158.898,1159.098,235059.99889999998
03.01.2017 20:00:00.000,1159.179,1159.399,1157.889,1158.218,316060.00659999996
03.01.2017 20:05:00.000,1158.198,1158.288,1157.408,1157.608,218400.00340000002
03.01.2017 20:10:00.000,1157.628,1158.129,1157.321,1158.128,154640.0004
03.01.2017 20:15:00.000,1158.128,1158.419,1158.072,1158.238,189720.003
03.01.2017 20:20:00.000,1158.238,1159.189,1158.179,1158.568,291779.9987
03.01.2017 20:25:00.000,1158.579,1158.989,1158.378,1158.479,189370.0007
03.01.2017 20:30:00.000,1158.479,1158.529,1157.929,1158.138,177959.9953
03.01.2017 20:35:00.000,1158.149,1158.249,1157.778,1157.888,148509.9941
03.01.2017 20:40:00.000,1157.898,1158.088,1157.399,1157.438,214540.0029
03.01.2017 20:45:00.000,1157.448,1157.449,1156.698,1157.009,303120.0021
03.01.2017 20:50:00.000,1157.009,1158.952,1156.898,1158.868,226250.0003
03.01.2017 20:55:00.000,1158.898,1159.618,1158.631,1159.269,324589.9975
03.01.2017 21:00:00.000,1159.278,1159.839,1159.088,1159.119,169459.9987
03.01.2017 21:05:00.000,1159.129,1159.718,1159.098,1159.529,127449.9995
03.01.2017 21:10:00.000,1159.509,1159.758,1159.351,1159.601,110019.9995
03.01.2017 21:15:00.000,1159.601,1159.601,1159.158,1159.251,74839.99990000001
03.01.2017 21:20:00.000,1159.251,1159.251,1158.818,1158.948,88210.0025
03.01.2017 21:25:00.000,1158.938,1159.199,1158.508,1158.638,93030.0001
03.01.2017 21:30:00.000,1158.612,1158.652,1158.039,1158.299,23099.999600000003
03.01.2017 21:35:00.000,1158.152,1158.449,1158.152,1158.398,7330
03.01.2017 21:40:00.000,1158.298,1158.398,1158.198,1158.398,10729.9997
03.01.2017 21:45:00.000,1158.261,1158.812,1158.261,1158.811,11670
03.01.2017 21:50:00.000,1158.862,1159.201,1158.861,1159.151,15909.999899999999
03.01.2017 21:55:00.000,1159.151,1159.202,1157.961,1158.102,16399.9996
03.01.2017 23:00:00.000,1157.751,1159.162,1157.751,1158.631,22350
03.01.2017 23:05:00.000,1158.708,1158.719,1158.391,1158.719,8479.999899999999
03.01.2017 23:10:00.000,1158.768,1158.818,1158.418,1158.668,39199.9999
03.01.2017 23:15:00.000,1158.619,1158.778,1158.448,1158.609,57509.9995
03.01.2017 23:20:00.000,1158.659,1158.678,1157.449,1157.498,149949.9995
03.01.2017 23:25:00.000,1157.489,1157.719,1157.400,1157.599,27999.9997
03.01.2017 23:30:00.000,1157.598,1157.649,1157.400,1157.400,19719.999499999998
03.01.2017 23:35:00.000,1157.400,1157.609,1157.058,1157.539,57620
03.01.2017 23:40:00.000,1157.539,1157.589,1157.168,1157.268,57449.99969999999
03.01.2017 23:45:00.000,1157.218,1157.769,1156.968,1157.368,96459.9979
03.01.2017 23:50:00.000,1157.368,1157.669,1157.168,1157.168,68640
03.01.2017 23:55:00.000,1157.268,1157.281,1156.981,1157.109,32809.9996
04.01.2017 00:00:00.000,1157.109,1157.178,1156.591,1156.721,96299.9981
04.01.2017 00:05:00.000,1156.721,1156.918,1156.412,1156.622,163560.00120000003
04.01.2017 00:10:00.000,1156.638,1157.142,1156.371,1157.021,83309.9975
04.01.2017 00:15:00.000,1156.998,1157.198,1156.541,1156.541,89049.9978
04.01.2017 00:20:00.000,1156.592,1156.698,1156.222,1156.511,86929.9998
04.01.2017 00:25:00.000,1156.511,1156.731,1156.211,1156.641,65520.0007
04.01.2017 00:30:00.000,1156.641,1158.139,1156.531,1157.938,140909.9995
04.01.2017 00:35:00.000,1157.988,1158.289,1157.491,1157.648,212659.996
04.01.2017 00:40:00.000,1157.638,1158.239,1157.598,1157.819,137779.9985
